canonicalPrintingId,language,region,canonicalSetId,releaseYear,providers,cardType,promoStatus,gapReason,permissionState,credentialsRequired,identityState
pokemon|en|GLOBAL|set:cd07ac91f422de86|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:cd07ac91f422de86|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2018sm,2018,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|2|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|3|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|4|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|5|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:26bf17e2e261a9fc|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2019sm,2019,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:a9e484d937eaa8e7|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2021swsh,2021,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:a9e484d937eaa8e7|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2021swsh,2021,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:a9e484d937eaa8e7|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2021swsh,2021,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:a9e484d937eaa8e7|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2021swsh,2021,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:a9e484d937eaa8e7|13|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2021swsh,2021,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:a9e484d937eaa8e7|14|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2021swsh,2021,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
